school_long,school_lat,osm_id,school_name
17.9687109,59.35821463,44618884,Lilla Alby skola
17.90464234,59.27539011,44698597,Skärholmens Gymnasieskolor
17.98686022,59.36119228,44786972,Ekensbergsskolan
16.30602729,56.7307671,45263106,Sjöängsskolan
18.20877071,59.3131336,45902133,Skuru Skola
18.21331229,59.30903056,45902256,Saltängens skola
18.15728646,59.30862131,45979745,Järla skola
13.93824664,56.83841148,46493478,Kungshögsskolan
11.95438564,57.74952917,46603818,Fenestra S:t Jörgen
12.07168018,57.80121644,46695292,Kristinaskolan
17.95000411,62.62671514,46858822,Kristinaskolan
17.90330898,59.47708693,46896509,Gillboskolan
17.63562416,59.8636249,47068974,Kommunala Musikskolan
17.63889611,59.86211342,47068975,Nannaskolan
18.17218968,59.25642071,47200395,Strandparksskolan
18.17949422,59.25824363,47200397,Stavsborgsskolan
12.06414497,57.80142512,47371571,Vättleskolan
15.59113149,58.41362286,47451674,Tornhagsskolan
13.02421108,55.46233448,47529075,Södervångsskolan
13.01233786,55.46834847,5837397,Sundsgymnasiet
13.01266086,55.4711985,5837397,Sundsgymnasiet
13.02791197,55.47153279,47529136,Rosentorpskolan
13.03652094,55.47396936,47529137,Herrestorpskolan
12.9231171,55.40528248,47529352,Ljungenskolan
12.97622412,55.41622654,47530354,Sandeplanskolan
12.84333895,55.40262813,47533185,Tångvallaskolan
13.18724217,55.37626687,47625611,Köpingeskolan
13.18213012,55.37602872,47626832,Pilevallsskolan
13.12547362,55.37865226,47845134,Bäckaskolan
13.17242488,55.57985227,47861222,Spångholmsskolan
13.17539873,55.57969512,47861223,Baraskolan
18.06659526,59.49192178,48116668,Skolhagensskolan
13.20504544,55.70156277,48494349,Östervångsskolan
15.04623094,60.71480255,48603599,Ullvi Skola
16.24428884,59.53044402,48870943,Strömsholms skola
16.00019071,59.51531613,49022187,Sankt Olovsskolan
14.08902889,56.16064554,49089882,Kviingeskolan
13.17111382,55.69892408,49094096,Palettskolan
13.17662192,55.69385898,49098025,Klostergårdsskolan
13.19451117,55.69400069,49098042,Järnåkraskolan
13.21506183,55.70689257,49099861,Tunaskolan
12.07432056,57.72067598,398293,Vallhamra skola
17.61106886,59.80743746,49186155,Växthuset 2
17.61008584,59.80735559,49186160,Växthuset 1
17.61925425,59.81145009,49186424,Växthuset 3 skola
13.08135901,55.6714765,49257274,Pilängsskolan
15.85425668,59.5942278,49258897,Malmaskolan
17.72077705,59.4847325,49324823,Lillsjöskolan
17.62903446,59.80872452,49380786,Gottsundaskolan
17.6301687,59.80762741,49380787,Treklangens skola
17.61721989,59.81061062,49393852,Stenhammars barnstuga
12.11956764,57.6593869,49528014,Hulebäcksgymnasiet
13.0097091,55.60036841,50018607,Pauliskolan
18.71071888,59.76254661,50313315,Roslagskolan
18.71590925,59.76446088,50391302,Parkstugan
18.01933974,59.34872391,50540429,Stockholm International School
18.18452288,59.26188286,51003704,Älta skola
16.24970652,59.61277647,51140028,Nibbleskolan
12.06826571,57.75532758,51304790,Bergsjöskolan
12.97626741,55.59458549,51349013,Bladins gymnasium
13.10263885,55.79280883,51358746,Korsbackaskolan
13.10468414,55.79110578,51358751,Annelundsskolan
13.16302802,55.37887359,51854356,Liljeborgsskolan
12.96477511,55.59036046,52090688,Mellanhedsskolan
17.62700678,59.87781812,52112461,Domarringens skola
12.98890613,55.60731171,52206259,ProCivitas
12.99463266,55.59954574,52245410,Sankt Petri skola
13.0076231,55.60169678,52245411,Latinskolan
12.99054575,55.59887942,52245413,Malmö Borgarskola
13.02231709,55.6034543,52245434,Rörsjöskolan
13.70102633,55.63709093,52461087,Färsinga lärcentrum
13.70894977,55.6334165,52461092,Emanuelskolan
13.18206493,55.71368075,52463485,Lerbäcksskolan
14.1514001,58.42454741,52710089,Nya Smulebergsskolan
11.90429273,57.64235744,53017782,Kannebäcksskolan
11.90283775,57.6417341,53017789,Kannebäcksskolan
13.20690924,55.64396051,53072687,Musikskolan
13.20031793,55.63257532,53108922,Trollflöjtens förskola
17.23109358,62.41343364,53446173,Bergsåkers skola
15.0658346,60.12541117,53548650,Blötberget
13.30057904,55.84830465,53617329,Norrevångsskolan
13.31917513,55.83849432,53617330,Bergaskolan
13.29364554,55.8386141,53619556,Västra skolan
13.30935028,55.83846998,53619557,Östra skolan
13.27103314,55.64689219,53766212,Kyrkheddinge folkskola
12.99830942,55.56867165,54146671,Kulladalsskolan
18.03773811,59.33509051,54183835,Sankt Eriks gymnasium
17.74044424,59.11153733,54961712,Olberga skola
14.28419164,55.92633751,55252101,Sånnaskolan
18.71663428,63.29397241,55350762,Nolaskolan
12.07594561,57.4829203,55356312,Aranäsgymnasiet
18.71443422,63.29415702,55449708,Örnsköldsskolan
13.24461657,55.59111186,55477385,Klågerupsskolan
12.07113896,57.49019143,55480997,Varlaskolan
12.03439996,57.43407299,55483087,Presseskolan
16.61501128,59.90550171,55495467,Ängshagsskolan
16.59148421,59.9250429,55495700,Åkraskolan
16.57969602,59.92165732,55495725,Lärkbacksskolan
16.60235075,59.92082302,55496047,Ekebyskolan
16.60100371,59.91843489,55496148,Vallaskolan
16.61267917,59.91125564,55578073,Kungsängsgymnasiet
12.92514034,56.08300328,55610081,Varagårdsskolan
13.08602578,55.6019959,55806293,Risebergaskolan
13.31111863,55.62379076,56051335,Esarps skola
12.64693482,56.09549694,56079443,Laröds skola
17.76536596,59.2025605,56092818,Kulturskola
13.34019476,55.71962536,56757902,Byskolan
15.57076361,60.51078158,57712517,Tomnäs skola
17.64818867,59.861132,57744114,Vaksalaskolan
12.70143946,56.0325541,57948639,Rönnowska skolan
13.14145832,55.37724109,58662168,Kattebäcksskolan
18.01626716,59.303762,58797135,Midsommarkransens gymnasium
13.14734452,55.37895451,58855373,Bastionsskolan
13.15563313,55.37650145,58858373,Söderslättsgymnasiet
13.03044011,55.44331042,58866375,Håslövs byaskola
12.98592219,55.414159,58866380,Ängdala skolor
13.11183385,55.49536174,58866562,Västra Ingelstads skola
15.44742317,60.46637405,59010172,Gylle skola
13.19777343,55.71830409,59069268,Lovisaskolan
12.72744793,56.06352402,59189293,Drottninghögsskolan
12.73239546,56.05456094,59281019,Filbornaskolan
13.27589532,56.28012178,59314228,Beringskolan
13.27386567,56.2867463,59314240,Mårdenskolan
13.00780871,55.76038852,59875048,Nyvångsskolan
13.97532524,58.39963588,60039702,Sventorps skola
13.12595546,55.79589714,60164379,Rinnebäcksskolan
12.00748655,57.65701332,942438,Montessoriskolan Kvarnhjulet
17.41692009,62.29136005,60960738,Nylands skola
24.12792765,65.83356336,61113171,Tornedalsskolan
24.13143062,65.83562437,61113172,Språkskolan
12.06815305,57.80362091,61908245,Rannebergsskolan
17.77768132,59.19754692,62041480,Söderby Friskola
17.77717282,59.1975412,62041482,Söderby Friskola
17.75883152,59.19683691,62136282,Skogsängsskolan
13.1263311,55.379205,62414618,Fågelbäcksskolan
12.69614747,56.05738573,62539545,Tågaborgsskolan
14.15948597,56.05333482,64361742,Fröknegårdsskolan
18.0465664,59.4152145,64432639,Danderyds Gymnasium
17.73105799,59.20147226,65010557,Nytorpsskolan
24.16372129,65.86071849,65023400,Peräpohjolan opisto
16.17389429,58.66258286,68647889,Hultdalsskolan
24.13819171,65.85274068,68775656,Lappia
18.12922723,59.27945161,68803884,Bagarmossens skola
14.65449813,63.17247405,68996560,Odenslundsskolan
13.21224436,55.65191174,69993174,Borggårdsskolan
17.20290789,59.88802798,70191099,Järlåsa skola
17.97693288,59.44650507,70223549,Rösjöskolan
17.99798579,59.43154694,70684277,Kärrdalsskolan
13.14487227,55.38756908,70848952,Lillevångsskolan
13.14410166,55.38632927,70848953,Vannhögsskolan
17.66210229,59.86303005,71127012,Almtunaskolan
17.36654726,62.31265992,71732402,Svartviks skola
16.16637428,56.6336599,71818551,Lungbyholmsskolan
12.71804058,56.04119665,71834508,Wieselgrensskolan
12.7291415,56.04102554,71834515,Husensjö skola
11.94979753,57.69434704,10476747,Nordhemsskolan
17.82826234,59.62668675,72099564,Tingvallaskolan
12.75357232,56.10420528,75112274,Svensgårdsskolan
13.10442948,55.79347489,75907316,Olympiaskolan
17.96250024,59.28384742,76090823,Fruängens skola
13.09690138,55.54560707,76451811,Kungshögsskolan
17.96504213,59.28821839,76631219,Kunskapsskolan
17.84470543,59.3648095,76844313,Loviselundsskolan
17.84062697,59.36855937,76844391,Hässelbygårdsskolan
13.65366917,55.85199021,77409939,Frostaskolan
15.41168808,60.52120605,77645633,Kvarnsvedens skola
17.95757718,59.29735876,79139750,Mälarhöjdens skola
17.28602899,62.39592308,79414882,Internationella Engelska Skolan
12.70228819,56.0646651,79416349,Ringstorpsskolan
12.53895152,57.9286169,79573813,Lendahlsskolan
12.52359817,57.93215491,79574026,Nolhagaskolan
12.52145755,57.92548471,79575871,Kullingsbergsskolan
17.65321305,59.82705058,79590298,Ekuddenskolan
13.69474389,55.63305819,79758071,Sandbäckskolan
17.99371306,59.43596594,79811634,Vittra Rösjötorp
13.16540897,55.72513618,80575420,Gunnesboskolan
13.20669092,55.72462374,80766666,Svenshögsskolan
13.17251391,55.72777927,80777534,Hubertusgården
13.82006796,55.43307558,80956135,Norreportskolan
13.82701858,55.43199816,80956282,Sydskånska gymnasiet Österport
13.7910054,55.43005019,80962615,Edvinshemsskolan
13.81857045,55.4404064,80967651,Backaskolan
13.82981339,55.42993114,80968202,Östra skolan
14.22823269,55.68399617,80984056,Piratenskolan
13.94076432,55.54779845,81003619,Kastanjeskolan
13.7154715,55.43075197,81111300,Svarteskolan
13.57749057,55.47064411,81425067,Hallenborgskolan
13.50967702,55.47065024,81610302,Skurups folkhögskola
11.45773087,58.28229895,81882132,Mariedalsskolan
18.05477619,59.35039631,82257111,Johannes skola
18.01484212,59.36869116,82470577,Alfaskolan
18.01498606,59.37027548,82470579,Vittraskolan
13.59920389,55.58311108,82470722,Storkskolan
13.4068582,55.60133143,83133508,Häckebergaskolan
13.50204113,55.6290819,83300470,Idalaskolan
13.4856356,55.63533331,83300474,Svaleboskolan
15.45401632,60.50163699,83551062,Domnarvets skola
15.35466964,60.5307885,83586116,Amsbergs skola
13.35038286,55.66861986,83635157,Nyvångskolan
15.42314139,60.49295987,83726281,Tjärnaskolan
15.42863039,60.50023475,83789615,Forssaängskolan
15.47589083,60.44952789,83789623,Kyrkskolan
15.41392061,60.48942431,83789807,Hagagymnasiet
13.02857766,55.59346878,83853489,Stenkulaskolan
13.23982385,55.69755708,83997118,Vikingaskolan
15.91769181,56.74467271,84162749,Paradisskolan
15.92579299,56.74703436,84182181,Transtorpsskolan
13.20326229,55.45341525,84273360,Västra Alstads skola
13.13992537,55.46566937,84273627,Östra Grevie folkhögskola
17.2974485,62.39023744,84867099,Sundsvalls kulturskola
17.30170305,62.39090143,84875970,Altinska skolan
15.99587842,56.41647187,84997494,Mjölnerskolan
13.09966278,55.53718858,85128955,Blankebäckskolan
12.93337483,57.73722643,85262904,Internationella Engelska Skolan
12.93239706,57.73762055,1273742,Erikslundskolan
17.63520775,59.8027263,86110739,Musiklådan
17.62033505,59.86449436,86328394,Sverkerskolan
11.73793385,57.70288308,86768424,Hällsviks Bycenter
17.93135638,58.92043162,87187081,Nynäshamns gymnasium
12.92025322,55.58984795,87690426,Skolan på Ön
13.23482225,55.70720445,87901901,Mårtenskolan
13.22645565,55.69520977,87987200,Komvux
14.16533441,56.03278028,88074243,Centralskolan
14.18157179,56.0423544,88074244,Antonskolan Österäng
14.15778775,56.02650264,88074246,Söderportgymnasiet
14.17526256,56.04271272,88074247,Österänggymnasiet
14.15369682,56.03464475,88074250,Norretullskolan
14.16194382,56.02767594,88074251,Christian 4:s Gymnasium
13.17186413,55.74057583,88230496,Vallkärra skola
13.2007633,55.72349416,88300225,Fäladsgården
13.18150839,55.68439421,88457581,Kunskapsskolan
13.18594579,55.68597422,88457605,NTI-gymnasiet
16.19151292,58.57708921,88598839,Klingsbergsskolan
16.19692739,58.58924487,88706570,Djäkneparksskolan
16.19776305,58.58911375,88707801,Oskarsskolan
13.39692187,55.5998286,1364524,Genarps skola
16.1822083,58.58837645,88798980,Kunskapsgymnasiet
18.03135368,59.31682101,89070541,Högalidsskolan
13.82016766,58.36901067,89153372,Heneskolan
12.70249521,56.04792754,89239682,International School of Helsingborg
13.46329851,55.72543551,1319942,Revingeby skola
12.70178189,56.04921163,89488877,Slottsvångsskolan
13.85016618,58.39814206,1321291,Norrmalmskolan
12.96697605,55.59196313,89613496,Slottsstadens skola
12.98511405,55.58670122,89613497,Lorensborgsskolan
12.98034184,55.59166133,89613498,Dammfriskolan
13.0228794,55.57882916,89613499,Augustenborgsskolan
17.94041466,59.29047123,89615995,Slättgårdsskolan
13.01155418,55.59443117,89616277,Möllevångsskolan
13.23730423,55.70906683,1321923,Östra Tornskolan
13.2398346,55.71024496,89646520,Flygelskolan
14.63417479,63.20441759,1703383,Lugnviksskolan
13.0178233,55.57124299,89867618,Nydalaskolan
13.01873742,55.56739855,89867619,Hermodsdalsskolan
13.01412304,55.55731707,89867620,Lindängeskolan
13.01047521,55.57039494,89867621,Söderkullaskolan
12.99086294,55.56125775,89867622,Lindeborgskolan
12.97714532,55.57297169,89867623,Kroksbäcksskolan
13.20768633,55.72900259,89931968,Ladugårdsmarkens skola
13.10999496,55.65526011,89976245,Dalslundsskolan lilla
13.10632612,55.66136802,89979832,Svanetorpskolan
13.84522339,58.40324601,1325689,Käpplundaskolan
12.86221628,56.68217317,1326539,Internationella Engelska Skolan Halmstad
13.19502687,55.72480037,90230785,Backaskolan
13.81404706,58.38156056,90402942,Våmbs skola
12.97203509,57.72868766,1751622,Fjärdingsskolan
13.17995544,55.72177726,90533215,Oskarskolan
12.03240387,57.6442375,90694657,Rävekärrsskolan
15.61622587,58.41571104,90885123,Katedralskolan
15.61098189,58.41632162,90891061,Berzeliusskolan
15.64796717,58.37991162,91083899,Vidingsjöskolan
15.65129295,58.39270104,91087156,Ånestadsskolan
16.35208194,56.66815893,91222156,Komvux
16.35595044,56.66393433,91222178,Tullbroskolan
16.35979178,56.66724256,91222218,Stagneliusskolan
16.35689262,56.67458286,91234070,Lindöskolan
16.33197612,56.6902634,91234089,Djurängsskolan
16.34341177,56.6869497,1338528,Funkaboskolan
16.18423771,58.58516504,1343498,De Geergymnasiet
16.34913399,56.66409836,91846943,Rostad
16.16693955,58.58662544,91904918,Ebersteinska gymnasiet
16.1697206,58.58739945,91905654,Ebersteinska gymnasiet
16.16835005,58.58740524,91906485,Norrköpings Montessoriskola
16.1668757,58.58532369,91906486,Ebersteinska gymnasiet
16.16557186,58.58489766,91907033,Ebersteinska gymnasiet
12.04147248,57.65215696,91928291,Glasbergsskolan
16.35744707,56.7007057,91970378,Kalmarsundsskolan
16.14639436,58.60580259,92005287,Enebyskolan
16.16865616,58.59827372,92017184,Marielundsgymnasiet
16.14154056,58.57392983,92197416,Borgsmoskolan
12.03111014,57.65370923,92209894,Ryetskolan
15.63611859,58.38716962,92299928,Bäckskolan
15.56548371,58.39389625,92332308,Fria Läroverken
13.09059534,55.66793974,92339761,Karstorpskolan
13.35063482,55.71423528,92352700,Killebäckskolan
13.35778722,55.71802607,92356757,Österskolan
13.33592727,55.70894197,92357830,Uggleskolan
16.19105833,58.59013851,92416242,S:t Olofsskolan
16.18848007,58.58494656,92464660,Kungsgårdsgymnasiet
16.17773946,58.58577926,92483629,Källvindsskolan
12.70950167,56.0463929,92736181,Nicolaiskolan
16.1688711,58.5945142,92847471,Matteusskolan
16.16074946,58.59893401,92850798,Hagaskolan
16.16184829,58.59987699,92851224,Hagagymnasiet
16.18185206,58.58534879,92968797,De Geerskolan
12.81867495,55.88670762,93023558,Västervångskolan
14.64148176,63.17048355,93115196,Österängsskolan
16.20011781,58.5829844,1354702,Ljuraskolan
16.19773237,58.59032397,93307104,Malmska skolan
17.31648241,62.40195814,93426056,Mimerskolan
16.3262678,56.66031048,93477790,Kalmar Waldorfskola
15.62880688,60.58428795,93519466,Gruvrisskolan
13.14785948,55.70456432,93523289,Hasselaskolan
16.3368389,56.67636563,93535976,Karl-Oskarskolan
16.17927157,58.58559032,93590193,Lennings textiltekniska institut
12.70814183,56.04838476,93649860,Olympiaskolan
16.21222629,58.56647696,93663935,Söderporten Vrinneviskolan
15.70364615,60.59603946,93693706,Hälsingbergsskolan
16.149226,58.57972043,93975926,Johannesskolan
13.19241264,55.69301724,94036167,Lilla Järnåkraskolan
13.18204353,55.70235267,94054664,Svaneskolan
13.18336653,55.68455209,94054863,Höjebroskolan
13.16223589,55.70667719,94054913,Dagcenter Gråsparven
13.33804533,55.67179881,94055068,Hagalundskolan
13.3396679,55.67154167,94055069,Hagen
13.42168641,55.67762828,94055397,Torna Hällestad skola
13.2259888,55.6860712,94055589,Ekelundsskolan
16.3520033,56.66641947,94131728,John Bauergymnasiet
16.32690137,56.66294501,94164769,Falkenbergsskolan
12.75273785,56.02734606,94236158,Ramlösa friskola
17.31283482,62.39897362,94404283,Skvaderns gymnasieskola
12.74092591,56.03320439,94440731,Västra Ramlösa skola
18.73414965,63.28867701,94543813,Höglidenskolan
18.68134979,63.26048474,94568315,Sundskolan
16.54154827,59.61313728,94576492,Nya Annexet
16.54238483,59.6136221,94576497,Ljushallen
16.54144326,59.6135179,94576499,Gamla Annexet
16.54054923,59.61329271,94576505,Huvudbyggnaden
16.53750106,59.60706842,94579343,Fryxellska skolan
16.17051597,58.57823818,94705378,Ektorpsskolan
16.17246883,58.57897273,94705384,Ektorpsringen
16.17212744,58.57726754,94706759,Förskolan Igelkotten / Harlyckans skola och fritidshem
16.19876939,58.58604487,94716168,Gustaf Adolfsskolan
16.35720031,56.67844686,1372364,Tallhagsskolan
16.34772145,56.66949585,1373832,Jenny Nyströmskolan
16.34602968,56.66918938,1373831,Jenny Nyströmskolan
16.59864244,59.59837457,95120750,Hamreskolan
16.53905635,59.62137487,95150993,Carlforsska gymnasium
16.50139365,59.60061724,95164342,Nybyggeskolan
12.74350807,56.04597523,95218575,Vittra Adolfsberg
18.6742809,63.27883683,95242442,Hållängetskolan
17.62273992,59.82537258,95348762,Malmaskolan
16.22226727,58.55646829,95511526,Navestadskolan
16.20321588,58.57200991,95526638,Söderporten Hagebyskolan
17.60386396,59.8381609,95569721,Hågadalskolan
16.20856572,58.57402495,95582682,Förskolan Nyckelpigan
12.02236802,57.65692898,95719844,Kvarnbyskolan
17.22239951,62.42089455,95944511,Österro skola
17.60108866,59.83930214,95953480,Eriksbergsskolan
15.64252362,58.4692756,95973669,Ekängsskolan
13.18815975,55.69482752,96065727,PSS Lund
